name,mpg,horsepower,cylinders,displacement,weight,acceleration,year,origin,
pontiac catalina brougham,14,175,8,400,4464,11.5,1971,USA,
ford galaxie 500,14,153,8,351,4154,13.5,1971,USA,
plymouth fury iii,14,150,8,318,4096,13,1971,USA,
dodge monaco (sw),12,180,8,383,4955,11.5,1971,USA,
ford country squire (sw),13,170,8,400,4746,12,1971,USA,
pontiac safari (sw),13,175,8,400,5140,12,1971,USA,
amc hornet sportabout (sw),18,110,6,258,2962,13.5,1971,USA,
chevrolet vega (sw),22,72,4,140,2408,19,1971,USA,
pontiac firebird,19,100,6,250,3282,15,1971,USA,
ford mustang,18,88,6,250,3139,14.5,1971,USA,
mercury capri 2000,23,86,4,122,2220,14,1971,USA,
opel 1900,28,90,4,116,2123,14,1971,Germany,
peugeot 304,30,70,4,79,2074,19.5,1971,Germany,
fiat 124b,30,76,4,88,2065,14.5,1971,Germany,
toyota corolla 1200,31,65,4,71,1773,19,1971,Japan,
datsun 1200,35,69,4,72,1613,18,1971,Japan,
volkswagen model 111,27,60,4,97,1834,19,1971,Germany,
plymouth cricket,26,70,4,91,1955,20.5,1971,USA,
toyota corona hardtop,24,95,4,113,2278,15.5,1972,Japan,
dodge colt hardtop,25,80,4,97.5,2126,17,1972,USA,
volkswagen type 3,23,54,4,97,2254,23.5,1972,Germany,
chevrolet vega,20,90,4,140,2408,19.5,1972,USA,
ford pinto runabout,21,86,4,122,2226,16.5,1972,USA,
chevrolet impala,13,165,8,350,4274,12,1972,USA,
pontiac catalina,14,175,8,400,4385,12,1972,USA,
plymouth fury iii,15,150,8,318,4135,13.5,1972,USA,
ford galaxie 500,14,153,8,351,4129,13,1972,USA,
amc ambassador sst,17,150,8,304,3672,11.5,1972,USA,
mercury marquis,11,208,8,429,4633,11,1972,USA,
buick lesabre custom,13,155,8,350,4502,13.5,1972,USA,
oldsmobile delta 88 royale,12,160,8,350,4456,13.5,1972,USA,
chrysler newport royal,13,190,8,400,4422,12.5,1972,USA,
mazda rx2 coupe,19,97,3,70,2330,13.5,1972,Japan,
amc matador (sw),15,150,8,304,3892,12.5,1972,USA,
chevrolet chevelle concours (sw),13,130,8,307,4098,14,1972,USA,
ford gran torino (sw),13,140,8,302,4294,16,1972,USA,
plymouth satellite custom (sw),14,150,8,318,4077,14,1972,USA,
volvo 145e (sw),18,112,4,121,2933,14.5,1972,Germany,
volkswagen 411 (sw),22,76,4,121,2511,18,1972,Germany,
peugeot 504 (sw),21,87,4,120,2979,19.5,1972,Germany,
renault 12 (sw),26,69,4,96,2189,18,1972,Germany,
ford pinto (sw),22,86,4,122,2395,16,1972,USA,
datsun 510 (sw),28,92,4,97,2288,17,1972,Japan,
toyouta corona mark ii (sw),23,97,4,120,2506,14.5,1972,Japan,
dodge colt (sw),28,80,4,98,2164,15,1972,USA,
toyota corolla 1600 (sw),27,88,4,97,2100,16.5,1972,Japan,
buick century 350,13,175,8,350,4100,13,1973,USA,
amc matador,14,150,8,304,3672,11.5,1973,USA,
chevrolet malibu,13,145,8,350,3988,13,1973,USA,
ford gran torino,14,137,8,302,4042,14.5,1973,USA,
dodge coronet custom,15,150,8,318,3777,12.5,1973,USA,
mercury marquis brougham,12,198,8,429,4952,11.5,1973,USA,
chevrolet caprice classic,13,150,8,400,4464,12,1973,USA,
ford ltd,13,158,8,351,4363,13,1973,USA,
plymouth fury gran sedan,14,150,8,318,4237,14.5,1973,USA,
chrysler new yorker brougham,13,215,8,440,4735,11,1973,USA,
buick electra 225 custom,12,225,8,455,4951,11,1973,USA,
amc ambassador brougham,13,175,8,360,3821,11,1973,USA,
plymouth valiant,18,105,6,225,3121,16.5,1973,USA,
chevrolet nova custom,16,100,6,250,3278,18,1973,USA,
amc hornet,18,100,6,232,2945,16,1973,USA,
ford maverick,18,88,6,250,3021,16.5,1973,USA,
plymouth duster,23,95,6,198,2904,16,1973,USA,
volkswagen super beetle,26,46,4,97,1950,21,1973,Germany,
chevrolet impala,11,150,8,400,4997,14,1973,USA,
ford country,12,167,8,400,4906,12.5,1973,USA,
plymouth custom suburb,13,170,8,360,4654,13,1973,USA,
oldsmobile vista cruiser,12,180,8,350,4499,12.5,1973,USA,
amc gremlin,18,100,6,232,2789,15,1973,USA,
toyota carina,20,88,4,97,2279,19,1973,Japan,
chevrolet vega,21,72,4,140,2401,19.5,1973,USA,
datsun 610,22,94,4,108,2379,16.5,1973,Japan,
maxda rx3,18,90,3,70,2124,13.5,1973,Japan,
ford pinto,19,85,4,122,2310,18.5,1973,USA,
mercury capri v6,21,107,6,155,2472,14,1973,USA,
fiat 124 sport coupe,26,90,4,98,2265,15.5,1973,Germany,
chevrolet monte carlo s,15,145,8,350,4082,13,1973,USA,
pontiac grand prix,16,230,8,400,4278,9.5,1973,USA,
fiat 128,29,49,4,68,1867,19.5,1973,Germany,
opel manta,24,75,4,116,2158,15.5,1973,Germany,
audi 100ls,20,91,4,114,2582,14,1973,Germany,
volvo 144ea,19,112,4,121,2868,15.5,1973,Germany,
dodge dart custom,15,150,8,318,3399,11,1973,USA,
saab 99le,24,110,4,121,2660,14,1973,Germany,
toyota mark ii,20,122,6,156,2807,13.5,1973,Japan,
oldsmobile omega,11,180,8,350,3664,11,1973,USA,
plymouth duster,20,95,6,198,3102,16.5,1974,USA,
amc hornet,19,100,6,232,2901,16,1974,USA,
chevrolet nova,15,100,6,250,3336,17,1974,USA,
datsun b210,31,67,4,79,1950,19,1974,Japan,
ford pinto,26,80,4,122,2451,16.5,1974,USA,
toyota corolla 1200,32,65,4,71,1836,21,1974,Japan,
chevrolet vega,25,75,4,140,2542,17,1974,USA,
chevrolet chevelle malibu classic,16,100,6,250,3781,17,1974,USA,
amc matador,16,110,6,258,3632,18,1974,USA,
plymouth satellite sebring,18,105,6,225,3613,16.5,1974,USA,
ford gran torino,16,140,8,302,4141,14,1974,USA,
buick century luxus (sw),13,150,8,350,4699,14.5,1974,USA,
dodge coronet custom (sw),14,150,8,318,4457,13.5,1974,USA,
ford gran torino (sw),14,140,8,302,4638,16,1974,USA,
amc matador (sw),14,150,8,304,4257,15.5,1974,USA,
audi fox,29,83,4,98,2219,16.5,1974,Germany,
volkswagen dasher,26,67,4,79,1963,15.5,1974,Germany,
opel manta,26,78,4,97,2300,14.5,1974,Germany,
toyota corona,31,52,4,76,1649,16.5,1974,Japan,
datsun 710,32,61,4,83,2003,19,1974,Japan,
dodge colt,28,75,4,90,2125,14.5,1974,USA,
fiat 128,24,75,4,90,2108,15.5,1974,Germany,
fiat 124 tc,26,75,4,116,2246,14,1974,Germany,
honda civic,24,97,4,120,2489,15,1974,Japan,
subaru,26,93,4,108,2391,15.5,1974,Japan,
fiat x1.9,31,67,4,79,2000,16,1974,Germany,
plymouth valiant custom,19,95,6,225,3264,16,1975,USA,
chevrolet nova,18,105,6,250,3459,16,1975,USA,
mercury monarch,15,72,6,250,3432,21,1975,USA,
ford maverick,15,72,6,250,3158,19.5,1975,USA,
pontiac catalina,16,170,8,400,4668,11.5,1975,USA,
chevrolet bel air,15,145,8,350,4440,14,1975,USA,
plymouth grand fury,16,150,8,318,4498,14.5,1975,USA,
ford ltd,14,148,8,351,4657,13.5,1975,USA,
buick century,17,110,6,231,3907,21,1975,USA,
chevroelt chevelle malibu,16,105,6,250,3897,18.5,1975,USA,
amc matador,15,110,6,258,3730,19,1975,USA,
plymouth fury,18,95,6,225,3785,19,1975,USA,
buick skyhawk,21,110,6,231,3039,15,1975,USA,
chevrolet monza 2+2,20,110,8,262,3221,13.5,1975,USA,
ford mustang ii,13,129,8,302,3169,12,1975,USA,
toyota corolla,29,75,4,97,2171,16,1975,Japan,
ford pinto,23,83,4,140,2639,17,1975,USA,
amc gremlin,20,100,6,232,2914,16,1975,USA,
pontiac astro,23,78,4,140,2592,18.5,1975,USA,
toyota corona,24,96,4,134,2702,13.5,1975,Japan,
volkswagen dasher,25,71,4,90,2223,16.5,1975,Germany,
datsun 710,24,97,4,119,2545,17,1975,Japan,
ford pinto,18,97,6,171,2984,14.5,1975,USA,
volkswagen rabbit,29,70,4,90,1937,14,1975,Germany,
amc pacer,19,90,6,232,3211,17,1975,USA,
audi 100ls,23,95,4,115,2694,15,1975,Germany,
peugeot 504,23,88,4,120,2957,17,1975,Germany,
volvo 244dl,22,98,4,121,2945,14.5,1975,Germany,
saab 99le,25,115,4,121,2671,13.5,1975,Germany,
honda civic cvcc,33,53,4,91,1795,17.5,1975,Japan,
fiat 131,28,86,4,107,2464,15.5,1976,Germany,
opel 1900,25,81,4,116,2220,16.9,1976,Germany,
capri ii,25,92,4,140,2572,14.9,1976,USA,
dodge colt,26,79,4,98,2255,17.7,1976,USA,
renault 12tl,27,83,4,101,2202,15.3,1976,Germany,
chevrolet chevelle malibu classic,17.5,140,8,305,4215,13,1976,USA,
dodge coronet brougham,16,150,8,318,4190,13,1976,USA,
amc matador,15.5,120,8,304,3962,13.9,1976,USA,
ford gran torino,14.5,152,8,351,4215,12.8,1976,USA,
plymouth valiant,22,100,6,225,3233,15.4,1976,USA,
chevrolet nova,22,105,6,250,3353,14.5,1976,USA,
ford maverick,24,81,6,200,3012,17.6,1976,USA,
amc hornet,22.5,90,6,232,3085,17.6,1976,USA,
chevrolet chevette,29,52,4,85,2035,22.2,1976,USA,
chevrolet woody,24.5,60,4,98,2164,22.1,1976,USA,
vw rabbit,29,70,4,90,1937,14.2,1976,Germany,
honda civic,33,53,4,91,1795,17.4,1976,Japan,
dodge aspen se,20,100,6,225,3651,17.7,1976,USA,
ford granada ghia,18,78,6,250,3574,21,1976,USA,
pontiac ventura sj,18.5,110,6,250,3645,16.2,1976,USA,
amc pacer d/l,17.5,95,6,258,3193,17.8,1976,USA,
volkswagen rabbit,29.5,71,4,97,1825,12.2,1976,Germany,
datsun b-210,32,70,4,85,1990,17,1976,Japan,
toyota corolla,28,75,4,97,2155,16.4,1976,Japan,
ford pinto,26.5,72,4,140,2565,13.6,1976,USA,
volvo 245,20,102,4,130,3150,15.7,1976,Germany,
plymouth volare premier v8,13,150,8,318,3940,13.2,1976,USA,
peugeot 504,19,88,4,120,3270,21.9,1976,Germany,
toyota mark ii,19,108,6,156,2930,15.5,1976,Japan,
mercedes-benz 280s,16.5,120,6,168,3820,16.7,1976,Germany,
cadillac seville,16.5,180,8,350,4380,12.1,1976,USA,
chevy c10,13,145,8,350,4055,12,1976,USA,
ford f108,13,130,8,302,3870,15,1976,USA,
dodge d100,13,150,8,318,3755,14,1976,USA,
honda accord cvcc,31.5,68,4,98,2045,18.5,1977,Japan,
buick opel isuzu deluxe,30,80,4,111,2155,14.8,1977,USA,
renault 5 gtl,36,58,4,79,1825,18.6,1977,Germany,
plymouth arrow gs,25.5,96,4,122,2300,15.5,1977,USA,
datsun f-10 hatchback,33.5,70,4,85,1945,16.8,1977,Japan,
chevrolet caprice classic,17.5,145,8,305,3880,12.5,1977,USA,
oldsmobile cutlass supreme,17,110,8,260,4060,19,1977,USA,
dodge monaco brougham,15.5,145,8,318,4140,13.7,1977,USA,
mercury cougar brougham,15,130,8,302,4295,14.9,1977,USA,
chevrolet concours,17.5,110,6,250,3520,16.4,1977,USA,
buick skylark,20.5,105,6,231,3425,16.9,1977,USA,
plymouth volare custom,19,100,6,225,3630,17.7,1977,USA,
ford granada,18.5,98,6,250,3525,19,1977,USA,
pontiac grand prix lj,16,180,8,400,4220,11.1,1977,USA,
chevrolet monte carlo landau,15.5,170,8,350,4165,11.4,1977,USA,
chrysler cordoba,15.5,190,8,400,4325,12.2,1977,USA,
ford thunderbird,16,149,8,351,4335,14.5,1977,USA,
volkswagen rabbit custom,29,78,4,97,1940,14.5,1977,Germany,
pontiac sunbird coupe,24.5,88,4,151,2740,16,1977,USA,
toyota corolla liftback,26,75,4,97,2265,18.2,1977,Japan,
ford mustang ii 2+2,25.5,89,4,140,2755,15.8,1977,USA,
chevrolet chevette,30.5,63,4,98,2051,17,1977,USA,
dodge colt m/m,33.5,83,4,98,2075,15.9,1977,USA,
subaru dl,30,67,4,97,1985,16.4,1977,Japan,
volkswagen dasher,30.5,78,4,97,2190,14.1,1977,Germany,
datsun 810,22,97,6,146,2815,14.5,1977,Japan,
bmw 320i,21.5,110,4,121,2600,12.8,1977,Germany,
mazda rx-4,21.5,110,3,80,2720,13.5,1977,Japan,
volkswagen rabbit custom diesel,43.1,48,4,90,1985,21.5,1978,Germany,
ford fiesta,36.1,66,4,98,1800,14.4,1978,USA,
mazda glc deluxe,32.8,52,4,78,1985,19.4,1978,Japan,
datsun b210 gx,39.4,70,4,85,2070,18.6,1978,Japan,
honda civic cvcc,36.1,60,4,91,1800,16.4,1978,Japan,
oldsmobile cutlass salon brougham,19.9,110,8,260,3365,15.5,1978,USA,
dodge diplomat,19.4,140,8,318,3735,13.2,1978,USA,
mercury monarch ghia,20.2,139,8,302,3570,12.8,1978,USA,
pontiac phoenix lj,19.2,105,6,231,3535,19.2,1978,USA,
chevrolet malibu,20.5,95,6,200,3155,18.2,1978,USA,
ford fairmont (auto),20.2,85,6,200,2965,15.8,1978,USA,
ford fairmont (man),25.1,88,4,140,2720,15.4,1978,USA,
plymouth volare,20.5,100,6,225,3430,17.2,1978,USA,
amc concord,19.4,90,6,232,3210,17.2,1978,USA,
buick century special,20.6,105,6,231,3380,15.8,1978,USA,
mercury zephyr,20.8,85,6,200,3070,16.7,1978,USA,
dodge aspen,18.6,110,6,225,3620,18.7,1978,USA,
amc concord d/l,18.1,120,6,258,3410,15.1,1978,USA,
chevrolet monte carlo landau,19.2,145,8,305,3425,13.2,1978,USA,
buick regal sport coupe (turbo),17.7,165,6,231,3445,13.4,1978,USA,
ford futura,18.1,139,8,302,3205,11.2,1978,USA,
dodge magnum xe,17.5,140,8,318,4080,13.7,1978,USA,
chevrolet chevette,30,68,4,98,2155,16.5,1978,USA,
toyota corona,27.5,95,4,134,2560,14.2,1978,Japan,
datsun 510,27.2,97,4,119,2300,14.7,1978,Japan,
dodge omni,30.9,75,4,105,2230,14.5,1978,USA,
toyota celica gt liftback,21.1,95,4,134,2515,14.8,1978,Japan,
plymouth sapporo,23.2,105,4,156,2745,16.7,1978,USA,
oldsmobile starfire sx,23.8,85,4,151,2855,17.6,1978,USA,
datsun 200-sx,23.9,97,4,119,2405,14.9,1978,Japan,
audi 5000,20.3,103,5,131,2830,15.9,1978,Germany,
volvo 264gl,17,125,6,163,3140,13.6,1978,Germany,
saab 99gle,21.6,115,4,121,2795,15.7,1978,Germany,
peugeot 604sl,16.2,133,6,163,3410,15.8,1978,Germany,
volkswagen scirocco,31.5,71,4,89,1990,14.9,1978,Germany,
honda accord lx,29.5,68,4,98,2135,16.6,1978,Japan,
pontiac lemans v6,21.5,115,6,231,3245,15.4,1979,USA,
mercury zephyr 6,19.8,85,6,200,2990,18.2,1979,USA,
ford fairmont 4,22.3,88,4,140,2890,17.3,1979,USA,
amc concord dl 6,20.2,90,6,232,3265,18.2,1979,USA,
dodge aspen 6,20.6,110,6,225,3360,16.6,1979,USA,
chevrolet caprice classic,17,130,8,305,3840,15.4,1979,USA,
ford ltd landau,17.6,129,8,302,3725,13.4,1979,USA,
mercury grand marquis,16.5,138,8,351,3955,13.2,1979,USA,
dodge st. regis,18.2,135,8,318,3830,15.2,1979,USA,
buick estate wagon (sw),16.9,155,8,350,4360,14.9,1979,USA,
ford country squire (sw),15.5,142,8,351,4054,14.3,1979,USA,
chevrolet malibu classic (sw),19.2,125,8,267,3605,15,1979,USA,
chrysler lebaron town @ country (sw),18.5,150,8,360,3940,13,1979,USA,
vw rabbit custom,31.9,71,4,89,1925,14,1979,Germany,
maxda glc deluxe,34.1,65,4,86,1975,15.2,1979,Japan,
dodge colt hatchback custom,35.7,80,4,98,1915,14.4,1979,USA,
amc spirit dl,27.4,80,4,121,2670,15,1979,USA,
mercedes benz 300d,25.4,77,5,183,3530,20.1,1979,Germany,
cadillac eldorado,23,125,8,350,3900,17.4,1979,USA,
peugeot 504,27.2,71,4,141,3190,24.8,1979,Germany,
oldsmobile cutlass salon brougham,23.9,90,8,260,3420,22.2,1979,USA,
plymouth horizon,34.2,70,4,105,2200,13.2,1979,USA,
plymouth horizon tc3,34.5,70,4,105,2150,14.9,1979,USA,
datsun 210,31.8,65,4,85,2020,19.2,1979,Japan,
fiat strada custom,37.3,69,4,91,2130,14.7,1979,Germany,
buick skylark limited,28.4,90,4,151,2670,16,1979,USA,
chevrolet citation,28.8,115,6,173,2595,11.3,1979,USA,
oldsmobile omega brougham,26.8,115,6,173,2700,12.9,1979,USA,
pontiac phoenix,33.5,90,4,151,2556,13.2,1979,USA,
vw rabbit,41.5,76,4,98,2144,14.7,1980,Germany,
toyota corolla tercel,38.1,60,4,89,1968,18.8,1980,Japan,
chevrolet chevette,32.1,70,4,98,2120,15.5,1980,USA,
datsun 310,37.2,65,4,86,2019,16.4,1980,Japan,
chevrolet citation,28,90,4,151,2678,16.5,1980,USA,
ford fairmont,26.4,88,4,140,2870,18.1,1980,USA,
amc concord,24.3,90,4,151,3003,20.1,1980,USA,
dodge aspen,19.1,90,6,225,3381,18.7,1980,USA,
audi 4000,34.3,78,4,97,2188,15.8,1980,Germany,
toyota corona liftback,29.8,90,4,134,2711,15.5,1980,Japan,
mazda 626,31.3,75,4,120,2542,17.5,1980,Japan,
datsun 510 hatchback,37,92,4,119,2434,15,1980,Japan,
toyota corolla,32.2,75,4,108,2265,15.2,1980,Japan,
mazda glc,46.6,65,4,86,2110,17.9,1980,Japan,
dodge colt,27.9,105,4,156,2800,14.4,1980,USA,
datsun 210,40.8,65,4,85,2110,19.2,1980,Japan,
vw rabbit c (diesel),44.3,48,4,90,2085,21.7,1980,Germany,
vw dasher (diesel),43.4,48,4,90,2335,23.7,1980,Germany,
audi 5000s (diesel),36.4,67,5,121,2950,19.9,1980,Germany,
mercedes-benz 240d,30,67,4,146,3250,21.8,1980,Germany,
honda civic 1500 gl,44.6,67,4,91,1850,13.8,1980,Japan,
subaru dl,33.8,67,4,97,2145,18,1980,Japan,
vokswagen rabbit,29.8,62,4,89,1845,15.3,1980,Germany,
datsun 280-zx,32.7,132,6,168,2910,11.4,1980,Japan,
mazda rx-7 gs,23.7,100,3,70,2420,12.5,1980,Japan,
triumph tr7 coupe,35,88,4,122,2500,15.1,1980,Germany,
honda accord,32.4,72,4,107,2290,17,1980,Japan,
plymouth reliant,27.2,84,4,135,2490,15.7,1981,USA,
buick skylark,26.6,84,4,151,2635,16.4,1981,USA,
dodge aries wagon (sw),25.8,92,4,156,2620,14.4,1981,USA,
chevrolet citation,23.5,110,6,173,2725,12.6,1981,USA,
plymouth reliant,30,84,4,135,2385,12.9,1981,USA,
toyota starlet,39.1,58,4,79,1755,16.9,1981,Japan,
plymouth champ,39,64,4,86,1875,16.4,1981,USA,
honda civic 1300,35.1,60,4,81,1760,16.1,1981,Japan,
subaru,32.3,67,4,97,2065,17.8,1981,Japan,
datsun 210 mpg,37,65,4,85,1975,19.4,1981,Japan,
toyota tercel,37.7,62,4,89,2050,17.3,1981,Japan,
mazda glc 4,34.1,68,4,91,1985,16,1981,Japan,
plymouth horizon 4,34.7,63,4,105,2215,14.9,1981,USA,
ford escort 4w,34.4,65,4,98,2045,16.2,1981,USA,
ford escort 2h,29.9,65,4,98,2380,20.7,1981,USA,
volkswagen jetta,33,74,4,105,2190,14.2,1981,Germany,
honda prelude,33.7,75,4,107,2210,14.4,1981,Japan,
toyota corolla,32.4,75,4,108,2350,16.8,1981,Japan,
datsun 200sx,32.9,100,4,119,2615,14.8,1981,Japan,
mazda 626,31.6,74,4,120,2635,18.3,1981,Japan,
peugeot 505s turbo diesel,28.1,80,4,141,3230,20.4,1981,Germany,
volvo diesel,30.7,76,6,145,3160,19.6,1981,Germany,
toyota cressida,25.4,116,6,168,2900,12.6,1981,Japan,
datsun 810 maxima,24.2,120,6,146,2930,13.8,1981,Japan,
buick century,22.4,110,6,231,3415,15.8,1981,USA,
oldsmobile cutlass ls,26.6,105,8,350,3725,19,1981,USA,
ford granada gl,20.2,88,6,200,3060,17.1,1981,USA,
chrysler lebaron salon,17.6,85,6,225,3465,16.6,1981,USA,
chevrolet cavalier,28,88,4,112,2605,19.6,1982,USA,
chevrolet cavalier wagon,27,88,4,112,2640,18.6,1982,USA,
chevrolet cavalier 2-door,34,88,4,112,2395,18,1982,USA,
pontiac j2000 se hatchback,31,85,4,112,2575,16.2,1982,USA,
dodge aries se,29,84,4,135,2525,16,1982,USA,
pontiac phoenix,27,90,4,151,2735,18,1982,USA,
ford fairmont futura,24,92,4,140,2865,16.4,1982,USA,
volkswagen rabbit l,36,74,4,105,1980,15.3,1982,Germany,
mazda glc custom l,37,68,4,91,2025,18.2,1982,Japan,
mazda glc custom,31,68,4,91,1970,17.6,1982,Japan,
plymouth horizon miser,38,63,4,105,2125,14.7,1982,USA,
mercury lynx l,36,70,4,98,2125,17.3,1982,USA,
nissan stanza xe,36,88,4,120,2160,14.5,1982,Japan,
honda accord,36,75,4,107,2205,14.5,1982,Japan,
toyota corolla,34,70,4,108,2245,16.9,1982,Japan,
honda civic,38,67,4,91,1965,15,1982,Japan,
honda civic (auto),32,67,4,91,1965,15.7,1982,Japan,
datsun 310 gx,38,67,4,91,1995,16.2,1982,Japan,
buick century limited,25,110,6,181,2945,16.4,1982,USA,
oldsmobile cutlass ciera (diesel),38,85,6,262,3015,17,1982,USA,
chrysler lebaron medallion,26,92,4,156,2585,14.5,1982,USA,
ford granada l,22,112,6,232,2835,14.7,1982,USA,
toyota celica gt,32,96,4,144,2665,13.9,1982,Japan,
dodge charger 2.2,36,84,4,135,2370,13,1982,USA,
chevrolet camaro,27,90,4,151,2950,17.3,1982,USA,
ford mustang gl,27,86,4,140,2790,15.6,1982,USA,
vw pickup,44,52,4,97,2130,24.6,1982,Germany,
dodge rampage,32,84,4,135,2295,11.6,1982,USA,
ford ranger,28,79,4,120,2625,18.6,1982,USA,
chevy s-10,31,82,4,119,2720,19.4,1982,USA,
