name,age,happiness,interviews,happinessWithTikTok,weight,education,birth year ,country,Sort
User 1,18,88,6,78,170,14.5,2003,USA,48
User 1,27,88,4,78,170,16.5,1994,Japan,84
User 1,18,88,6,78,120,16.5,2003,USA,100
User 1,20,88,4,78,200,19,2001,Japan,108
User 1,23,88,4,78,170,17,1998,Germany,177
User 1,19,88,4,78,120,21.9,2002,Germany,208
User 1,24.5,88,4,78,190,16,1996.5,USA,233
User 1,25.1,88,4,78,120,15.4,1995.9,USA,254
User 1,22.3,88,4,78,150,17.3,1998.7,USA,281
User 1,26.4,88,4,78,150,18.1,1994.6,USA,313
User 1,35,88,4,78,120,15.1,1986,Germany,333
User 1,20.2,88,6,78,150,17.1,2000.8,USA,361
User 1,28,88,4,78,190,19.6,1993,USA,363
User 1,27,88,4,78,150,18.6,1994,USA,364
User 1,34,88,4,78,170,18,1987,USA,365
User 1,36,88,4,78,150,14.5,1985,Japan,375
User 1,25.5,89,4,79,170,15.8,1995.5,USA,235
User 1,24,90,4,80,150,14.5,1997,Germany,22
User 1,21,90,6,80,150,15,2000,USA,25
User 1,28,90,4,79,190,15.5,1993,USA,31
User 1,28,90,4,72,120,14,1993,Germany,50
User 1,20,90,4,83,190,19.5,2001,USA,60
User 1,18,90,3,86,190,13.5,2003,Japan,111
User 1,26,90,4,80,120,15.5,1995,Germany,114
User 1,19,90,6,80,190,17,2002,USA,175
User 1,22.5,90,6,80,120,17.6,1998.5,USA,193
User 1,19.4,90,6,80,150,17.2,2001.6,USA,256
User 1,20.2,90,6,80,120,18.2,2000.8,USA,282
User 1,23.9,90,8,80,150,22.2,1997.1,USA,299
User 1,28.4,90,4,80,120,16,1992.6,USA,304
User 1,33.5,90,4,80,170,13.2,1987.5,USA,307
User 1,28,90,4,80,190,16.5,1993,USA,312
User 1,24.3,90,4,80,170,20.1,1996.7,USA,314
User 1,19.1,90,6,80,120,18.7,2001.9,USA,315
User 1,29.8,90,4,80,150,15.5,1991.2,Japan,317
User 1,27,90,4,80,150,18,1994,USA,368
User 1,27,90,4,80,120,17.3,1994,USA,387
User 1,20,91,4,81,150,14,2001,Germany,119
User 1,28,92,4,82,120,17,1993,Japan,81
User 1,25,92,4,82,190,14.9,1996,USA,183
User 1,37,92,4,82,190,15,1984,Japan,319
User 1,25.8,92,4,82,120,14.4,1995.2,USA,337
User 1,24,92,4,82,120,16.4,1997,USA,369
User 1,26,92,4,82,120,14.5,1995,USA,383
User 1,26,93,4,83,170,15.5,1995,Japan,149
User 1,22,94,4,84,120,16.5,1999,Japan,110
User 1,24,95,4,85,150,15,1997,Japan,15
User 1,22,95,6,85,120,15.5,1999,USA,16
User 1,25,95,4,87,120,17.5,1996,Germany,23
User 1,25,95,4,88,150,14,1996,Japan,32
User 1,24,95,4,84,120,15.5,1997,Japan,57
User 1,23,95,6,83,150,16,1998,USA,101
User 1,20,95,6,82,190,16.5,2001,USA,125
User 1,19,95,6,81,120,16,2002,USA,151
User 1,18,95,6,88,150,19,2003,USA,162
User 1,23,95,4,89,150,15,1998,Germany,176
User 1,17.5,95,6,86,120,17.8,2003.5,USA,201
User 1,20.5,95,6,87,200,18.2,2000.5,USA,252
User 1,27.5,95,4,85,120,14.2,1993.5,Japan,266
User 1,21.1,95,4,83,190,14.8,1999.9,Japan,269
User 1,24,96,4,88,170,13.5,1997,Japan,170
User 1,25.5,96,4,82,120,15.5,1995.5,USA,218
User 1,32,96,4,88,150,13.9,1989,Japan,385
User 1,18,97,6,86,190,15.5,2003,USA,17
User 1,19,97,3,89,120,13.5,2002,Japan,71
User 1,23,97,4,87,190,14.5,1998,Japan,82
User 1,24,97,4,86,150,15,1997,Japan,148
User 1,24,97,4,89,120,17,1997,Japan,172
User 1,18,97,6,88,150,14.5,2003,USA,173
User 1,22,97,6,85,190,14.5,1999,Japan,240
User 1,27.2,97,4,84,150,14.7,1993.8,Japan,267
User 1,23.9,97,4,88,120,14.9,1997.1,Japan,272
User 1,22,98,4,89,120,14.5,1999,Germany,178
User 1,18.5,98,6,88,150,19,2002.5,USA,227
User 1,19,100,6,90,170,13,2002,USA,33
User 1,17,100,6,90,120,15.5,2004,USA,35
User 1,18,100,6,90,150,15.5,2003,USA,37
User 1,19,100,6,90,150,15,2002,USA,47
User 1,16,100,6,90,170,18,2005,USA,98
User 1,18,100,6,90,120,16,2003,USA,99
User 1,18,100,6,90,120,15,2003,USA,107
User 1,19,100,6,90,150,16,2002,USA,126
User 1,15,100,6,90,170,17,2006,USA,127
User 1,16,100,6,90,190,17,2005,USA,132
User 1,20,100,6,90,190,16,2001,USA,168
User 1,22,100,6,90,190,15.4,1999,USA,190
User 1,20,100,6,90,150,17.7,2001,USA,198
User 1,19,100,6,90,190,17.7,2002,USA,226
User 1,20.5,100,6,90,190,17.2,2000.5,USA,255
User 1,23.7,100,3,90,150,12.5,1997.3,Japan,332
User 1,32.9,100,4,90,150,14.8,1988.1,Japan,353
User 1,20,102,4,92,170,15.7,2001,Germany,206
User 1,20.3,103,5,93,120,15.9,2000.7,Germany,273
User 1,16,105,6,95,120,15.5,2005,USA,34
User 1,18,105,6,95,150,16.5,2003,USA,97
User 1,18,105,6,95,170,16.5,2003,USA,134
User 1,18,105,6,95,150,16,2003,USA,152
User 1,16,105,6,95,120,18.5,2005,USA,160
User 1,22,105,6,95,150,14.5,1999,USA,191
User 1,20.5,105,6,95,120,16.9,2000.5,USA,225
User 1,19.2,105,6,95,120,19.2,2001.8,USA,251
User 1,20.6,105,6,95,170,15.8,2000.4,USA,257
User 1,23.2,105,4,95,150,16.7,1997.8,USA,270
User 1,27.9,105,4,95,120,14.4,1993.1,USA,322
User 1,26.6,105,8,95,200,19,1994.4,USA,360
User 1,21,107,6,97,170,14,2000,USA,113
User 1,19,108,6,98,150,15.5,2002,Japan,209
User 1,18,110,6,100,120,13.5,2003,USA,45
User 1,24,110,4,100,120,14,1997,Germany,122
User 1,16,110,6,100,150,18,2005,USA,133
User 1,17,110,6,100,150,21,2004,USA,159
User 1,15,110,6,100,190,19,2006,USA,161
User 1,21,110,6,100,170,15,2000,USA,163
User 1,20,110,8,100,120,13.5,2001,USA,164
User 1,18.5,110,6,100,120,16.2,2002.5,USA,200
User 1,17,110,8,100,170,19,2004,USA,221
User 1,17.5,110,6,100,150,16.4,2003.5,USA,224
User 1,21.5,110,4,100,150,12.8,1999.5,Germany,241
User 1,21.5,110,3,100,170,13.5,1999.5,Japan,242
User 1,19.9,110,8,100,150,15.5,2001.1,USA,248
User 1,18.6,110,6,100,120,18.7,2002.4,USA,259
User 1,20.6,110,6,100,190,16.6,2000.4,USA,283
User 1,23.5,110,6,100,120,12.6,1997.5,USA,338
User 1,22.4,110,6,100,120,15.8,1998.6,USA,359
User 1,25,110,6,100,120,16.4,1996,USA,381
User 1,18,112,4,102,150,14.5,2003,Germany,76
User 1,19,112,4,102,170,15.5,2002,Germany,120
User 1,22,112,6,102,190,14.7,1999,USA,384
User 1,26,113,4,103,190,12.5,1995,Germany,24
User 1,25,115,4,105,120,13.5,1996,Germany,179
User 1,21.6,115,4,105,120,15.7,1999.4,Germany,275
User 1,21.5,115,6,105,120,15.4,1999.5,USA,279
User 1,28.8,115,6,105,190,11.3,1992.2,USA,305
User 1,26.8,115,6,105,150,12.9,1994.2,USA,306
User 1,25.4,116,6,106,170,12.6,1995.6,Japan,357
User 1,15.5,120,8,100,150,13.9,2005.5,USA,188
User 1,16.5,120,6,110,120,16.7,2004.5,Germany,210
User 1,18.1,120,6,110,150,15.1,2002.9,USA,260
User 1,24.2,120,6,110,120,13.8,1996.8,Japan,358
User 1,20,122,6,102,150,13.5,2001,Japan,123
User 1,17,125,6,105,150,13.6,2004,Germany,274
User 1,19.2,125,8,105,120,15,2001.8,USA,290
User 1,23,125,8,105,120,17.4,1998,USA,297
User 1,13,129,8,109,120,12,2008,USA,165
User 1,17.6,129,8,109,170,13.4,2003.4,USA,285
User 1,18,130,8,110,150,12,2003,USA,1
User 1,13,130,8,110,150,14,2008,USA,73
User 1,13,130,8,110,170,15,2008,USA,213
User 1,15,130,8,110,120,14.9,2006,USA,223
User 1,17,130,8,110,150,15.4,2004,USA,284
User 1,32.7,132,6,112,120,11.4,1988.3,Japan,331
User 1,16.2,133,6,113,190,15.8,2004.8,Germany,276
User 1,18.2,135,8,115,120,15.2,2002.8,USA,287
User 1,14,137,8,117,120,14.5,2007,USA,88
User 1,16.5,138,8,118,120,13.2,2004.5,USA,286
User 1,20.2,139,8,119,120,12.8,2000.8,USA,250
User 1,18.1,139,8,109,150,11.2,2002.9,USA,263
User 1,17,140,8,85,170,10.5,2004,USA,5
User 1,13,140,8,86,120,16,2008,USA,74
User 1,16,140,8,87,120,14,2005,USA,135
User 1,14,140,8,88,120,16,2007,USA,138
User 1,17.5,140,8,89,120,13,2003.5,USA,186
User 1,19.4,140,8,82,170,13.2,2001.6,USA,249
User 1,17.5,140,8,75,170,13.7,2003.5,USA,264
User 1,15.5,142,8,82,150,14.3,2005.5,USA,289
User 1,13,145,8,83,150,13,2008,USA,87
User 1,15,145,8,93,120,13,2006,USA,115
User 1,15,145,8,92,170,14,2006,USA,156
User 1,13,145,8,91,150,12,2008,USA,212
User 1,17.5,145,8,99,150,12.5,2003.5,USA,220
User 1,15.5,145,8,97,120,13.7,2005.5,USA,222
User 1,19.2,145,8,93,120,13.2,2001.8,USA,261
User 1,14,148,8,92,120,13.5,2007,USA,158
User 1,16,149,8,81,150,14.5,2005,USA,231
User 1,18,150,8,100,190,11,2003,USA,3
User 1,16,150,8,100,150,12,2005,USA,4
User 1,15,150,8,100,120,9.5,2006,USA,13
User 1,14,150,8,100,170,13,2007,USA,41
User 1,15,150,8,100,120,13.5,2006,USA,64
User 1,17,150,8,100,120,11.5,2004,USA,66
User 1,15,150,8,100,200,12.5,2006,USA,72
User 1,14,150,8,100,190,14,2007,USA,75
User 1,14,150,8,100,120,11.5,2007,USA,86
User 1,15,150,8,100,190,12.5,2006,USA,89
User 1,13,150,8,100,170,12,2008,USA,91
User 1,14,150,8,100,120,14.5,2007,USA,93
User 1,11,150,8,100,190,14,2010,USA,103
User 1,15,150,8,100,120,11,2006,USA,121
User 1,13,150,8,100,120,14.5,2008,USA,136
User 1,14,150,8,100,150,13.5,2007,USA,137
User 1,14,150,8,100,190,15.5,2007,USA,139
User 1,16,150,8,100,120,14.5,2005,USA,157
User 1,16,150,8,100,120,13,2005,USA,187
User 1,13,150,8,100,120,13.2,2008,USA,207
User 1,13,150,8,100,120,14,2008,USA,214
User 1,18.5,150,8,100,190,13,2002.5,USA,291
User 1,14.5,152,8,102,120,12.8,2006.5,USA,189
User 1,14,153,8,103,150,13.5,2007,USA,40
User 1,14,153,8,103,150,13,2007,USA,65
User 1,13,155,8,105,150,13.5,2008,USA,68
User 1,16.9,155,8,105,200,14.9,2004.1,USA,288
User 1,13,158,8,108,120,13,2008,USA,92
User 1,14,160,8,110,170,8,2007,USA,12
User 1,12,160,8,110,170,13.5,2009,USA,69
User 1,15,165,8,115,120,11.5,2006,USA,2
User 1,14,165,8,115,120,12,2007,USA,38
User 1,13,165,8,115,170,12,2008,USA,62
User 1,17.7,165,6,115,190,13.4,2003.3,USA,262
User 1,12,167,8,117,150,12.5,2009,USA,104
User 1,15,170,8,120,150,10,2006,USA,11
User 1,13,170,8,120,120,12,2008,USA,43
User 1,13,170,8,120,170,13,2008,USA,105
User 1,16,170,8,120,150,11.5,2005,USA,155
User 1,15.5,170,8,120,120,11.4,2005.5,USA,229
User 1,14,175,8,125,190,11.5,2007,USA,39
User 1,13,175,8,125,150,12,2008,USA,44
User 1,14,175,8,125,120,12,2007,USA,63
User 1,13,175,8,125,120,13,2008,USA,85
User 1,13,175,8,125,190,11,2008,USA,96
User 1,12,180,8,130,120,11.5,2009,USA,42
User 1,12,180,8,130,120,12.5,2009,USA,106
User 1,11,180,8,130,120,11,2010,USA,124
User 1,16.5,180,8,130,190,12.1,2004.5,USA,211
User 1,16,180,8,130,170,11.1,2005,USA,228
User 1,15,190,8,140,190,8.5,2006,USA,10
User 1,13,190,8,140,120,12.5,2008,USA,70
User 1,15.5,190,8,140,120,12.2,2005.5,USA,230
User 1,9,193,8,143,150,18.5,2012,USA,29
User 1,15,198,8,148,120,10,2006,USA,6
User 1,12,198,8,148,150,11.5,2009,USA,90
User 1,10,200,8,150,120,15,2011,USA,27
User 1,11,208,8,158,190,11,2010,USA,67
User 1,11,210,8,160,120,13.5,2010,USA,28
User 1,14,215,8,165,150,8.5,2007,USA,8
User 1,10,215,8,165,170,14,2011,USA,26
User 1,13,215,8,165,150,11,2008,USA,94
User 1,14,220,8,170,120,9,2007,USA,7
User 1,14,225,8,175,120,10,2007,USA,9
User 1,14,225,8,175,120,10,2007,USA,14
User 1,12,225,8,225,120,11,2009,USA,95
User 1,16,230,8,230,150,9.5,2005,USA,116
