name,age,happiness,interviews,happinesswithTikTok,weight,education,birth year ,country,
User 1,26,93,4,73,170,15.5,1995,Japan,
User 1,31,67,4,47,120,16,1990,Germany,
User 1,19,95,6,75,120,16,2002,USA,
User 1,18,105,6,85,150,16,2003,USA,
User 1,15,72,6,52,120,21,2006,USA,
User 1,15,72,6,52,190,19.5,2006,USA,
User 1,16,170,8,150,150,11.5,2005,USA,
User 1,15,145,8,125,170,14,2006,USA,
User 1,16,150,8,130,120,14.5,2005,USA,
User 1,14,148,8,128,120,13.5,2007,USA,
User 1,17,110,6,90,150,21,2004,USA,
User 1,16,105,6,85,120,18.5,2005,USA,
User 1,15,110,6,90,190,19,2006,USA,
User 1,18,95,6,75,150,19,2003,USA,
User 1,21,110,6,90,170,15,2000,USA,
User 1,20,110,8,90,120,13.5,2001,USA,
User 1,13,129,8,109,120,12,2008,USA,
User 1,29,75,4,55,150,16,1992,Japan,
User 1,23,83,4,63,120,17,1998,USA,
User 1,20,100,6,80,190,16,2001,USA,
User 1,23,78,4,58,150,18.5,1998,USA,
User 1,24,96,4,76,170,13.5,1997,Japan,
User 1,25,71,4,51,120,16.5,1996,Germany,
User 1,24,97,4,77,120,17,1997,Japan,
User 1,18,97,6,77,150,14.5,2003,USA,
User 1,29,70,4,50,120,14,1992,Germany,
User 1,19,90,6,70,190,17,2002,USA,
User 1,23,95,4,75,150,15,1998,Germany,
User 1,23,88,4,68,170,17,1998,Germany,
User 1,22,98,4,78,120,14.5,1999,Germany,
User 1,25,115,4,95,120,13.5,1996,Germany,
User 1,33,53,4,33,200,17.5,1988,Japan,
User 1,28,86,4,66,150,15.5,1993,Germany,
User 1,25,81,4,61,120,16.9,1996,Germany,
User 1,25,92,4,72,190,14.9,1996,USA,
User 1,26,79,4,59,150,17.7,1995,USA,
User 1,27,83,4,63,170,15.3,1994,Germany,
User 1,17.5,140,8,120,120,13,2003.5,USA,
User 1,16,150,8,130,120,13,2005,USA,
User 1,15.5,120,8,100,150,13.9,2005.5,USA,
User 1,14.5,152,8,132,120,12.8,2006.5,USA,
User 1,22,100,6,80,190,15.4,1999,USA,
User 1,22,105,6,85,150,14.5,1999,USA,
User 1,24,81,6,61,170,17.6,1997,USA,
User 1,22.5,90,6,70,120,17.6,1998.5,USA,
User 1,29,52,4,32,120,22.2,1992,USA,
User 1,24.5,60,4,40,150,22.1,1996.5,USA,
User 1,29,70,4,50,120,14.2,1992,Germany,
User 1,33,53,4,33,190,17.4,1988,Japan,
User 1,20,100,6,80,150,17.7,2001,USA,
User 1,18,78,6,58,170,21,2003,USA,
User 1,18.5,110,6,90,120,16.2,2002.5,USA,
User 1,17.5,95,6,75,120,17.8,2003.5,USA,
User 1,29.5,71,4,51,150,12.2,1991.5,Germany,
User 1,32,70,4,50,120,17,1989,Japan,
User 1,28,75,4,55,190,16.4,1993,Japan,
User 1,26.5,72,4,52,150,13.6,1994.5,USA,
User 1,20,102,4,82,170,15.7,2001,Germany,
User 1,13,150,8,130,120,13.2,2008,USA,
User 1,19,88,4,68,120,21.9,2002,Germany,
User 1,19,108,6,88,150,15.5,2002,Japan,
User 1,16.5,120,6,100,120,16.7,2004.5,Germany,
User 1,16.5,180,8,160,190,12.1,2004.5,USA,
User 1,13,145,8,125,150,12,2008,USA,
User 1,13,130,8,110,170,15,2008,USA,
User 1,13,150,8,130,120,14,2008,USA,
User 1,31.5,68,4,48,120,18.5,1989.5,Japan,
User 1,30,80,4,60,200,14.8,1991,USA,
User 1,36,58,4,38,150,18.6,1985,Germany,
User 1,25.5,96,4,76,120,15.5,1995.5,USA,
User 1,33.5,70,4,50,190,16.8,1987.5,Japan,
User 1,17.5,145,8,125,150,12.5,2003.5,USA,
User 1,17,110,8,90,170,19,2004,USA,
User 1,15.5,145,8,125,120,13.7,2005.5,USA,
User 1,15,130,8,110,120,14.9,2006,USA,
User 1,17.5,110,6,90,150,16.4,2003.5,USA,
User 1,20.5,105,6,85,120,16.9,2000.5,USA,
User 1,19,100,6,80,190,17.7,2002,USA,
User 1,18.5,98,6,78,150,19,2002.5,USA,
User 1,16,180,8,160,170,11.1,2005,USA,
User 1,15.5,170,8,150,120,11.4,2005.5,USA,
User 1,15.5,190,8,170,120,12.2,2005.5,USA,
User 1,16,149,8,129,150,14.5,2005,USA,
User 1,29,78,4,58,120,14.5,1992,Germany,
User 1,24.5,88,4,68,190,16,1996.5,USA,
User 1,26,75,4,55,150,18.2,1995,Japan,
User 1,25.5,89,4,69,170,15.8,1995.5,USA,
User 1,30.5,63,4,43,120,17,1990.5,USA,
User 1,33.5,83,4,63,120,15.9,1987.5,USA,
User 1,30,67,4,47,150,16.4,1991,Japan,
User 1,30.5,78,4,58,120,14.1,1990.5,Germany,
User 1,22,97,6,77,190,14.5,1999,Japan,
User 1,21.5,110,4,90,150,12.8,1999.5,Germany,
User 1,21.5,110,3,90,170,13.5,1999.5,Japan,
User 1,43.1,48,4,28,120,21.5,1977.9,Germany,
User 1,36.1,66,4,46,120,14.4,1984.9,USA,
User 1,32.8,52,4,32,150,19.4,1988.2,Japan,
User 1,39.4,70,4,50,120,18.6,1981.6,Japan,
User 1,36.1,60,4,40,190,16.4,1984.9,Japan,
User 1,19.9,110,8,90,150,15.5,2001.1,USA,
User 1,19.4,140,8,120,170,13.2,2001.6,USA,
User 1,20.2,139,8,119,120,12.8,2000.8,USA,
User 1,19.2,105,6,85,120,19.2,2001.8,USA,
User 1,20.5,95,6,75,200,18.2,2000.5,USA,
User 1,20.2,85,6,65,150,15.8,2000.8,USA,
User 1,25.1,88,4,68,120,15.4,1995.9,USA,
User 1,20.5,100,6,80,190,17.2,2000.5,USA,
User 1,19.4,90,6,70,150,17.2,2001.6,USA,
User 1,20.6,105,6,85,170,15.8,2000.4,USA,
User 1,20.8,85,6,65,120,16.7,2000.2,USA,
User 1,18.6,110,6,90,120,18.7,2002.4,USA,
User 1,18.1,120,6,100,150,15.1,2002.9,USA,
User 1,19.2,145,8,125,120,13.2,2001.8,USA,
User 1,17.7,165,6,145,190,13.4,2003.3,USA,
User 1,18.1,139,8,119,150,11.2,2002.9,USA,
User 1,17.5,140,8,120,170,13.7,2003.5,USA,
User 1,30,68,4,48,120,16.5,1991,USA,
User 1,27.5,95,4,75,120,14.2,1993.5,Japan,
User 1,27.2,97,4,77,150,14.7,1993.8,Japan,
User 1,30.9,75,4,55,120,14.5,1990.1,USA,
User 1,21.1,95,4,75,190,14.8,1999.9,Japan,
User 1,23.2,105,4,85,150,16.7,1997.8,USA,
User 1,23.8,85,4,65,170,17.6,1997.2,USA,
User 1,23.9,97,4,77,120,14.9,1997.1,Japan,
User 1,20.3,103,5,83,120,15.9,2000.7,Germany,
User 1,17,125,6,105,150,13.6,2004,Germany,
User 1,21.6,115,4,95,120,15.7,1999.4,Germany,
User 1,16.2,133,6,113,190,15.8,2004.8,Germany,
User 1,31.5,71,4,51,150,14.9,1989.5,Germany,
User 1,29.5,68,4,48,170,16.6,1991.5,Japan,
User 1,21.5,115,6,95,120,15.4,1999.5,USA,
User 1,19.8,85,6,65,120,18.2,2001.2,USA,
User 1,22.3,88,4,68,150,17.3,1998.7,USA,
User 1,20.2,90,6,70,120,18.2,2000.8,USA,
User 1,20.6,110,6,90,190,16.6,2000.4,USA,
User 1,17,130,8,110,150,15.4,2004,USA,
User 1,17.6,129,8,109,170,13.4,2003.4,USA,
User 1,16.5,138,8,118,120,13.2,2004.5,USA,
User 1,18.2,135,8,115,120,15.2,2002.8,USA,
User 1,16.9,155,8,135,200,14.9,2004.1,USA,
User 1,15.5,142,8,122,150,14.3,2005.5,USA,
User 1,19.2,125,8,105,120,15,2001.8,USA,
User 1,18.5,150,8,130,190,13,2002.5,USA,
User 1,31.9,71,4,51,150,14,1989.1,Germany,
User 1,34.1,65,4,45,170,15.2,1986.9,Japan,
User 1,35.7,80,4,60,120,14.4,1985.3,USA,
User 1,27.4,80,4,60,120,15,1993.6,USA,
User 1,25.4,77,5,57,150,20.1,1995.6,Germany,
User 1,23,125,8,105,120,17.4,1998,USA,
User 1,27.2,71,4,51,190,24.8,1993.8,Germany,
User 1,23.9,90,8,70,150,22.2,1997.1,USA,
User 1,34.2,70,4,50,170,13.2,1986.8,USA,
User 1,34.5,70,4,50,120,14.9,1986.5,USA,
User 1,31.8,65,4,45,120,19.2,1989.2,Japan,
User 1,37.3,69,4,49,150,14.7,1983.7,Germany,
User 1,28.4,90,4,70,120,16,1992.6,USA,
User 1,28.8,115,6,95,190,11.3,1992.2,USA,
User 1,26.8,115,6,95,150,12.9,1994.2,USA,
User 1,33.5,90,4,70,170,13.2,1987.5,USA,
User 1,41.5,76,4,56,120,14.7,1979.5,Germany,
User 1,38.1,60,4,40,120,18.8,1982.9,Japan,
User 1,32.1,70,4,50,150,15.5,1988.9,USA,
User 1,37.2,65,4,45,120,16.4,1983.8,Japan,
User 1,28,90,4,70,190,16.5,1993,USA,
User 1,26.4,88,4,68,150,18.1,1994.6,USA,
User 1,24.3,90,4,70,170,20.1,1996.7,USA,
User 1,19.1,90,6,70,120,18.7,2001.9,USA,
User 1,34.3,78,4,58,120,15.8,1986.7,Germany,
User 1,29.8,90,4,70,150,15.5,1991.2,Japan,
User 1,31.3,75,4,55,120,17.5,1989.7,Japan,
User 1,37,92,4,72,190,15,1984,Japan,
User 1,32.2,75,4,55,150,15.2,1988.8,Japan,
User 1,46.6,65,4,45,170,17.9,1974.4,Japan,
User 1,27.9,105,4,85,120,14.4,1993.1,USA,
User 1,40.8,65,4,45,120,19.2,1980.2,Japan,
User 1,44.3,48,4,28,200,21.7,1976.7,Germany,
User 1,43.4,48,4,28,150,23.7,1977.6,Germany,
User 1,36.4,67,5,47,120,19.9,1984.6,Germany,
User 1,30,67,4,47,190,21.8,1991,Germany,
User 1,44.6,67,4,47,150,13.8,1976.4,Japan,
User 1,33.8,67,4,47,170,18,1987.2,Japan,
User 1,29.8,62,4,42,120,15.3,1991.2,Germany,
User 1,32.7,132,6,112,120,11.4,1988.3,Japan,
User 1,23.7,100,3,80,150,12.5,1997.3,Japan,
User 1,35,88,4,68,120,15.1,1986,Germany,
User 1,32.4,72,4,52,190,17,1988.6,Japan,
User 1,27.2,84,4,64,150,15.7,1993.8,USA,
User 1,26.6,84,4,64,170,16.4,1994.4,USA,
User 1,25.8,92,4,72,120,14.4,1995.2,USA,
User 1,23.5,110,6,90,120,12.6,1997.5,USA,
User 1,30,84,4,64,150,12.9,1991,USA,
User 1,39.1,58,4,38,120,16.9,1981.9,Japan,
User 1,39,64,4,44,190,16.4,1982,USA,
User 1,35.1,60,4,40,150,16.1,1985.9,Japan,
User 1,32.3,67,4,47,170,17.8,1988.7,Japan,
User 1,37,65,4,45,120,19.4,1984,Japan,
User 1,37.7,62,4,42,120,17.3,1983.3,Japan,
User 1,34.1,68,4,48,150,16,1986.9,Japan,
User 1,34.7,63,4,43,120,14.9,1986.3,USA,
User 1,34.4,65,4,45,190,16.2,1986.6,USA,
User 1,29.9,65,4,45,150,20.7,1991.1,USA,
User 1,33,74,4,54,170,14.2,1988,Germany,
User 1,33.7,75,4,55,120,14.4,1987.3,Japan,
User 1,32.4,75,4,55,120,16.8,1988.6,Japan,
User 1,32.9,100,4,80,150,14.8,1988.1,Japan,
User 1,31.6,74,4,54,120,18.3,1989.4,Japan,
User 1,28.1,80,4,60,190,20.4,1992.9,Germany,
User 1,30.7,76,6,56,150,19.6,1990.3,Germany,
User 1,25.4,116,6,96,170,12.6,1995.6,Japan,
User 1,24.2,120,6,100,120,13.8,1996.8,Japan,
User 1,22.4,110,6,90,120,15.8,1998.6,USA,
User 1,26.6,105,8,85,200,19,1994.4,USA,
User 1,20.2,88,6,68,150,17.1,2000.8,USA,
User 1,17.6,85,6,65,120,16.6,2003.4,USA,
User 1,28,88,4,68,190,19.6,1993,USA,
User 1,27,88,4,68,150,18.6,1994,USA,
User 1,34,88,4,68,170,18,1987,USA,
User 1,31,85,4,65,120,16.2,1990,USA,
User 1,29,84,4,64,120,16,1992,USA,
User 1,27,90,4,70,150,18,1994,USA,
User 1,24,92,4,72,120,16.4,1997,USA,
User 1,36,74,4,54,190,15.3,1985,Germany,
User 1,37,68,4,48,150,18.2,1984,Japan,
User 1,31,68,4,48,170,17.6,1990,Japan,
User 1,38,63,4,43,120,14.7,1983,USA,
User 1,36,70,4,50,120,17.3,1985,USA,
User 1,36,88,4,68,150,14.5,1985,Japan,
User 1,36,75,4,55,120,14.5,1985,Japan,
User 1,34,70,4,50,190,16.9,1987,Japan,
User 1,38,67,4,47,150,15,1983,Japan,
User 1,32,67,4,47,170,15.7,1989,Japan,
User 1,38,67,4,47,120,16.2,1983,Japan,
User 1,25,110,6,90,120,16.4,1996,USA,
User 1,38,85,6,65,150,17,1983,USA,
User 1,26,92,4,72,120,14.5,1995,USA,
User 1,22,112,6,92,190,14.7,1999,USA,
User 1,32,96,4,76,150,13.9,1989,Japan,
User 1,36,84,4,64,170,13,1985,USA,
User 1,27,90,4,70,120,17.3,1994,USA,
User 1,27,86,4,66,120,15.6,1994,USA,
User 1,44,52,4,32,150,24.6,1977,Germany,
User 1,32,84,4,64,120,11.6,1989,USA,
User 1,28,79,4,59,190,18.6,1993,USA,
User 1,31,82,4,62,150,19.4,1990,USA,
